aligned_dna_short_read_set_id,aligned_dna_short_read_id
PMGRC-368-366-1_LS3762988_SQ6080_1,PMGRC-368-366-1_LS3762988_SQ6080_1
PMGRC-369-369-0_LS4698987_SQ6042_1,PMGRC-369-369-0_LS4698987_SQ6042_1
PMGRC-37-39-2_LS3762972_SQ6092_1,PMGRC-37-39-2_LS3762972_SQ6092_1
PMGRC-370-369-2_LS4698988_SQ6043_1,PMGRC-370-369-2_LS4698988_SQ6043_1
PMGRC-371-369-1_LS4698986_SQ6041_1,PMGRC-371-369-1_LS4698986_SQ6041_1
PMGRC-372-372-0_LS4073353_SQ6127_1,PMGRC-372-372-0_LS4073353_SQ6127_1
PMGRC-373-372-2_LS4073361_SQ6089_1,PMGRC-373-372-2_LS4073361_SQ6089_1
PMGRC-374-372-1_LS4073360_SQ6088_1,PMGRC-374-372-1_LS4073360_SQ6088_1
PMGRC-375-375-0_LS4268844_SQ6102_1,PMGRC-375-375-0_LS4268844_SQ6102_1
PMGRC-376-375-2_LS4073345_SQ6119_1,PMGRC-376-375-2_LS4073345_SQ6119_1
PMGRC-377-375-1_LS4073348_SQ6122_1,PMGRC-377-375-1_LS4073348_SQ6122_1
PMGRC-379-381-2_LS4073359_SQ6087_1,PMGRC-379-381-2_LS4073359_SQ6087_1
PMGRC-38-39-1_LS3762975_SQ6095_1,PMGRC-38-39-1_LS3762975_SQ6095_1
PMGRC-380-381-1_LS4073355_SQ6129_1,PMGRC-380-381-1_LS4073355_SQ6129_1
PMGRC-381-381-0_LS4073352_SQ6126_1,PMGRC-381-381-0_LS4073352_SQ6126_1
PMGRC-382-382-0_LS4073425_SQ6079_1,PMGRC-382-382-0_LS4073425_SQ6079_1
PMGRC-383-382-2_LS4073424_SQ6078_1,PMGRC-383-382-2_LS4073424_SQ6078_1
PMGRC-384-382-1_LS4073427_SQ6081_1,PMGRC-384-382-1_LS4073427_SQ6081_1
PMGRC-388-388-0_LS4073410_SQ6064_1,PMGRC-388-388-0_LS4073410_SQ6064_1
PMGRC-389-388-2_LS4073409_SQ6063_1,PMGRC-389-388-2_LS4073409_SQ6063_1
PMGRC-39-39-0_LS3762974_SQ6094_1,PMGRC-39-39-0_LS3762974_SQ6094_1
PMGRC-390-388-1_LS4073408_SQ6062_1,PMGRC-390-388-1_LS4073408_SQ6062_1
PMGRC-391-391-0_LS4698969_SQ6120_1,PMGRC-391-391-0_LS4698969_SQ6120_1
PMGRC-392-392-0_LS4073415_SQ6069_1,PMGRC-392-392-0_LS4073415_SQ6069_1
PMGRC-393-392-2_LS4073414_SQ6068_1,PMGRC-393-392-2_LS4073414_SQ6068_1
PMGRC-394-392-1_LS4073426_SQ6080_1,PMGRC-394-392-1_LS4073426_SQ6080_1
PMGRC-399-391-1_LS4698949_SQ6112_1,PMGRC-399-391-1_LS4698949_SQ6112_1
PMGRC-4-3-2_LS3516180_SQ6066_1,PMGRC-4-3-2_LS3516180_SQ6066_1
PMGRC-400-391-2_LS4698970_SQ6121_1,PMGRC-400-391-2_LS4698970_SQ6121_1
PMGRC-401-401-0_LS4073357_SQ6085_1,PMGRC-401-401-0_LS4073357_SQ6085_1
PMGRC-402-401-2_LS4073354_SQ6128_1,PMGRC-402-401-2_LS4073354_SQ6128_1
PMGRC-403-403-0_LS4268782_SQ6086_1,PMGRC-403-403-0_LS4268782_SQ6086_1
PMGRC-404-403-1_LS4743901_SQ6102_1,PMGRC-404-403-1_LS4743901_SQ6102_1
PMGRC-405-403-2_LS4268783_SQ6087_1,PMGRC-405-403-2_LS4268783_SQ6087_1
PMGRC-406-401-1_LS4073356_SQ6130_1,PMGRC-406-401-1_LS4073356_SQ6130_1
PMGRC-409-408-1_LS4268829_SQ6069_1,PMGRC-409-408-1_LS4268829_SQ6069_1
PMGRC-410-408-2_LS4268830_SQ6070_1,PMGRC-410-408-2_LS4268830_SQ6070_1
PMGRC-411-411-0_LS4073376_SQ6118_1,PMGRC-411-411-0_LS4073376_SQ6118_1
PMGRC-412-411-2_LS4073368_SQ6110_1,PMGRC-412-411-2_LS4073368_SQ6110_1
PMGRC-414-417-2_LS4073374_SQ6116_1,PMGRC-414-417-2_LS4073374_SQ6116_1
PMGRC-415-417-1_LS4073396_SQ6069_1,PMGRC-415-417-1_LS4073396_SQ6069_1
PMGRC-416-417-3_LS4268828_SQ6068_1,PMGRC-416-417-3_LS4268828_SQ6068_1
PMGRC-417-417-0_LS4073387_SQ6128_1,PMGRC-417-417-0_LS4073387_SQ6128_1
PMGRC-418-418-0_LS4268831_SQ6071_1,PMGRC-418-418-0_LS4268831_SQ6071_1
PMGRC-419-418-2_LS4073383_SQ6125_1,PMGRC-419-418-2_LS4073383_SQ6125_1
PMGRC-420-418-1_LS4073367_SQ6109_1,PMGRC-420-418-1_LS4073367_SQ6109_1
PMGRC-422-421-2_LS4268852_SQ6062_1,PMGRC-422-421-2_LS4268852_SQ6062_1
PMGRC-423-423-0_LS4073395_SQ6068_1,PMGRC-423-423-0_LS4073395_SQ6068_1
PMGRC-424-423-2_LS4073385_SQ6063_1,PMGRC-424-423-2_LS4073385_SQ6063_1
PMGRC-425-423-1_LS4073398_SQ6071_1,PMGRC-425-423-1_LS4073398_SQ6071_1
