id,ticket,plate,mth,well,dna_quant,lib_quant,aligned_reads
49,RT-2866,MyOme 10,Verso RSD,B1,33.15,3.144,614995700
50,RT-2869,CNMC 2A,RnD,B1,78,2.274,413095468
51,RT-2977,CNMC 2B,RnD,B1,61.7,2.781,469891538
52,RT-2867,MyOme 11,Verso RSD,B1,57.25,3.417,578660105
53,RT-3115,CNMC 3A,RnD,B1,29.95,4.96,590268950
54,RT-3130,CNMC 3B,RnD,B1,24.1,3.305,482743035
55,RT-3219,CNMC 3C,RnD,B1,25.2,3.029,593739721
56,RT-3230,CNMC 3D,RnD,B1,24.7,5.079,261474283
57,RT-2338,CNMC 1A,RnD,B2,19.962,7.226,453543810
58,RT-2538,CNMC 1B,RnD,B2,18.119,7.939,523812993
59,RT-2539,CNMC 1C,RnD,B2,15.186,2.121,393967915
60,RT-2575,CNMC 1D,RnD,B2,21.568,5.002,515519856
61,RT-2072,MyOme 8,RnD,B2,22.5,1.794,513058414
62,RT-2865,MyOme 9,Verso RSD,B2,45.8,3.392,481799184
63,RT-2866,MyOme 10,Verso RSD,B2,25.65,3.726,657857517
64,RT-2869,CNMC 2A,RnD,B2,49.4,3.108,418132857
65,RT-2977,CNMC 2B,RnD,B2,16.9,3.205,404052475
66,RT-2867,MyOme 11,Verso RSD,B2,48.8,3.472,571395050
67,RT-3115,CNMC 3A,RnD,B2,21.03,4.437,463657148
68,RT-3130,CNMC 3B,RnD,B2,23.8,3.314,619297469
69,RT-3219,CNMC 3C,RnD,B2,22.9,4.392,457742070
70,RT-3230,CNMC 3D,RnD,B2,24.5,4.3,506255068
71,RT-2338,CNMC 1A,RnD,B3,21.702,3.876,352607827
72,RT-2538,CNMC 1B,RnD,B3,22.191,6.532,404431568
73,RT-2539,CNMC 1C,RnD,B3,18.277,3.657,521507686
74,RT-2575,CNMC 1D,RnD,B3,19.286,5.11,594303191
75,RT-2072,MyOme 8,RnD,B3,20.5,2.903,411941025
76,RT-2865,MyOme 9,Verso RSD,B3,94,2.039,518823555
77,RT-2866,MyOme 10,Verso RSD,B3,62.15,3.387,501666218
78,RT-2869,CNMC 2A,RnD,B3,57.3,2.245,464502098
79,RT-2977,CNMC 2B,RnD,B3,39.1,3.194,516079523
80,RT-2867,MyOme 11,Verso RSD,B3,45.1,3.24,476306437
81,RT-3115,CNMC 3A,RnD,B3,24.63,4.417,482697909
82,RT-3130,CNMC 3B,RnD,B3,11.7,1.525,365686017
83,RT-3219,CNMC 3C,RnD,B3,23.5,2.92,652092813
84,RT-3230,CNMC 3D,RnD,B3,24.5,4.3,506255068
85,RT-2338,CNMC 1A,RnD,C1,20.055,6.91,518831671
86,RT-2538,CNMC 1B,RnD,C1,19.469,6.862,658180894
87,RT-2539,CNMC 1C,RnD,C1,19.501,6.452,597748371
88,RT-2575,CNMC 1D,RnD,C1,19.569,5.256,531343861
89,RT-2072,MyOme 8,RnD,C1,21.8,2.604,498417399
90,RT-2865,MyOme 9,Verso RSD,C1,13.4,2.106,741264935
91,RT-2866,MyOme 10,Verso RSD,C1,39.9,1.683,607904802
92,RT-2869,CNMC 2A,RnD,C1,54.1,3.149,524496030
93,RT-2977,CNMC 2B,RnD,C1,51.4,3.834,492983647
94,RT-2867,MyOme 11,Verso RSD,C1,54.4,3.805,652102180
95,RT-3115,CNMC 3A,RnD,C1,25.17,3.914,570215030
96,RT-3130,CNMC 3B,RnD,C1,25,3.673,524313881
97,RT-3219,CNMC 3C,RnD,C1,23.4,2.385,504207401
98,RT-3230,CNMC 3D,RnD,C1,14.1,4.526,325863381
99,RT-2338,CNMC 1A,RnD,C2,18.837,6.295,656130945
100,RT-2538,CNMC 1B,RnD,C2,21.866,7.762,359001600
101,RT-2539,CNMC 1C,RnD,C2,10.393,1.886,655435016
102,RT-2575,CNMC 1D,RnD,C2,18.617,4.201,366203303
103,RT-2072,MyOme 8,RnD,C2,20.5,2.754,676116762
104,RT-2865,MyOme 9,Verso RSD,C2,29,2.775,469883261
105,RT-2866,MyOme 10,Verso RSD,C2,27.4,3.577,440398726
106,RT-2869,CNMC 2A,RnD,C2,54.1,3.358,504533059
107,RT-2977,CNMC 2B,RnD,C2,38,3.892,633165037
108,RT-2867,MyOme 11,Verso RSD,C2,47.55,3.803,771297761
109,RT-3115,CNMC 3A,RnD,C2,23.22,3.993,460232377
110,RT-3130,CNMC 3B,RnD,C2,26.1,3.483,380535396
111,RT-3219,CNMC 3C,RnD,C2,24.3,3.543,341918723
112,RT-3230,CNMC 3D,RnD,C2,24,4.546,338258811
113,RT-2338,CNMC 1A,RnD,C3,19.178,4.969,567187458
114,RT-2538,CNMC 1B,RnD,C3,18.916,5.338,419282975
115,RT-2539,CNMC 1C,RnD,C3,24.686,6.029,478118666
116,RT-2575,CNMC 1D,RnD,C3,23.339,5.992,441986778
117,RT-2072,MyOme 8,RnD,C3,21.4,3.048,636880468
118,RT-2865,MyOme 9,Verso RSD,C3,0,0.114,
119,RT-2866,MyOme 10,Verso RSD,C3,0,0.14,
120,RT-2869,CNMC 2A,RnD,C3,42.2,4.147,538549943
121,RT-2977,CNMC 2B,RnD,C3,51.6,2.789,531169463
122,RT-2867,MyOme 11,Verso RSD,C3,0,0.233,
123,RT-3115,CNMC 3A,RnD,C3,23.45,4.601,399286637
124,RT-3130,CNMC 3B,RnD,C3,16.4,1.945,438082118
125,RT-3219,CNMC 3C,RnD,C3,23.7,3.517,310256776
126,RT-3230,CNMC 3D,RnD,C3,24,4.546,338258811
127,RT-2338,CNMC 1A,RnD,D1,20.736,6.466,480971672
128,RT-2538,CNMC 1B,RnD,D1,20.895,9.033,488418264
129,RT-2539,CNMC 1C,RnD,D1,20.677,5.767,497697314
130,RT-2575,CNMC 1D,RnD,D1,17.671,4.593,498342378
131,RT-2072,MyOme 8,RnD,D1,23,1.543,635226557
132,RT-2865,MyOme 9,Verso RSD,D1,27.05,3.252,726753415
133,RT-2866,MyOme 10,Verso RSD,D1,46.55,2.259,587235962
134,RT-2869,CNMC 2A,RnD,D1,41,4.016,409578354
135,RT-2977,CNMC 2B,RnD,D1,53.3,3.358,441225762
136,RT-2867,MyOme 11,Verso RSD,D1,60.1,3.398,632350747
137,RT-3115,CNMC 3A,RnD,D1,24.17,4.272,369686679
138,RT-3130,CNMC 3B,RnD,D1,24.4,3.494,523844139
139,RT-3219,CNMC 3C,RnD,D1,23.9,2.333,600157479
140,RT-3230,CNMC 3D,RnD,D1,23.1,4.493,404915159
141,RT-2338,CNMC 1A,RnD,D2,21.562,5.411,538696701
142,RT-2538,CNMC 1B,RnD,D2,18.615,6.768,574520003
143,RT-2539,CNMC 1C,RnD,D2,18.089,3.776,344194596
144,RT-2575,CNMC 1D,RnD,D2,22.318,5.415,345928171
145,RT-2072,MyOme 8,RnD,D2,21.1,1.412,525338538
146,RT-2865,MyOme 9,Verso RSD,D2,25.3,3.226,700523538
147,RT-2866,MyOme 10,Verso RSD,D2,32.05,3.261,779703221
148,RT-2869,CNMC 2A,RnD,D2,42.2,4.224,441979028
149,RT-2977,CNMC 2B,RnD,D2,34.8,3.83,521867147
150,RT-2867,MyOme 11,Verso RSD,D2,60.45,2.224,579422199
151,RT-3115,CNMC 3A,RnD,D2,21.26,4.427,378715125
152,RT-3130,CNMC 3B,RnD,D2,29.4,3.89,607627183
153,RT-3219,CNMC 3C,RnD,D2,24.3,2.778,441840730
154,RT-3230,CNMC 3D,RnD,D2,21.6,3.995,604091851
155,RT-2338,CNMC 1A,RnD,D3,18.518,6.234,423051674
156,RT-2538,CNMC 1B,RnD,D3,19.208,6.454,464096339
157,RT-2539,CNMC 1C,RnD,D3,19.933,6.166,457312021
158,RT-2575,CNMC 1D,RnD,D3,24.255,6.108,600468749
